公司名称,公司logo链接,公司详情链接,行业,创立时间,公司位置,融资情况,基本信息,公司Tag,公司规模,公司状态
江西省章鱼强网络科技有限公司,https://cdn.itjuzi.com/images/d425bbf8cd7ceacacd9e42668a04383f.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83360,电子商务,2016.6,江西·南昌市,暂未收录融资信息,章鱼强是一个集线上PC端、手机APP端的新零售商城，从事校园1小时配送，业务范围有：校园兼职、校园电商、校园金融，主要目标消费者为大学生、家庭主妇和工薪阶层，是一个新时代下的新零售企业，着力解决消费者在购物过程中的痛点，让消费者在购物过程中感到轻松幸福，隶属于江西省章鱼强网络科技有限公司。,电子商务、综合电商、校园电商、新零售,30-50人,运营中
深圳有点创意文化有限公司,无公司logo图片,https://www.itjuzi.com/company/83349,文化娱乐,2017.1,广东·深圳市,暂未收录融资信息,是一家商业创意导向公司，致力于为企业提供商业创意前策及落地执行。,设计及创意、文化娱乐,不明确,运营中
大伟聊车,https://cdn.itjuzi.com/images/03a07edf7995fd7c136d1d6e4eec3f14.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83335,文化娱乐,2017.8,北京·朝阳区,暂未收录融资信息,大伟聊车是一个汽车类视频自媒体，产品主要是视频栏目，涵盖新车评、汽车拆解、自驾线路探索等，模式采用内容分发的模式，将做好的节目分发至各个汽车媒体和自媒体平台，解决用户买车选车用车的问题。,自媒体、汽车交通、汽车媒体及社区、媒体及阅读,不明确,运营中
广州网律互联网科技有限公司,https://cdn.itjuzi.com/images/18ed9147cd4fafa18aa028a4bf12e9e4.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83319,本地生活,2010.1,广东·广州市,暂未收录融资信息,网律科技是一家互联网法律服务企业。核心业务主要包括：会员服务、品牌广告、区县承包、专题承包、网站建设、网站托管、私人定制营销解决方案等各类创新营销业务，业务规模已覆盖全国99%城市，80多个法律专业领域，服务全国最大的律师群体及法律需求人群。公司致力于在解决公众法律服务需求的同时也能帮助律师快速成长发展。,本地生活、其他生活服务、个人法务,暂未收录,运营中
大腿（北京）科技有限公司,https://cdn.itjuzi.com/images/42ca2d82b84a97f5aa1c199a8b3cde31.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83307,教育,2016.1,北京·海淀区,2016.12种子轮30万人民币,大腿科技是一家有趣的VR教育实验室提供商，目前主要服务于中美两国的中小学和科技馆等。,VR虚拟现实、教育、教育信息化、VR内容、教辅工具和设备,10-15人,运营中
北京客捷科技有限公司,无公司logo图片,https://www.itjuzi.com/company/83283,汽车交通,2017.3,北京·朝阳区,暂未收录融资信息,车里子是聚焦加油站/充电站能源终端，聚合汽车后市场资源，服务车主，提供保养、快修、汽车用品服务及车险、汽车金融服务的综合平台，主要着眼于中高端。,汽车保养、汽车维修、汽车交通、汽车后服务,暂未收录,运营中
深圳市水媒传播有限公司,https://cdn.itjuzi.com/images/39a0ad458bfb123bd02608eb9c752219.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83273,广告营销,2017.8,广东·深圳市,暂未收录融资信息,水媒传播是一家新型移动社交广告工具提供商，致力于让广告在社交用户中自主传播，不断进行自媒体资源创新和整合，扩大广告可覆盖的社交用户数，提升广告曝光率和传播精准性，保障工具的性能和安全，为广告在移动社交领域开创了一个新的自主传播渠道，隶属于深圳市水媒传播有限公司。,广告营销、广告技术、移动及网络广告,15-30人,运营中
太原汉亚科技有限公司,https://cdn.itjuzi.com/images/f758a4efc301176e4e9aebf1dfdb4744.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83262,广告营销,2015.12,山西·太原市,暂未收录融资信息,汉亚影视动漫是一家集动画设计、影视广告、漫画设计、自媒体视频广告、网络广告、电视广告、摄影摄像为一体的影视动漫设计公司，隶属于太原汉亚科技有限公司。,广告营销、网络广告、广告技术、设计及创意、电视广告,30-50人,运营中
七十二变(北京)文化传媒有限公司,https://cdn.itjuzi.com/images/8c8b0c30f7f29212af27aa2e8d3fde02.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83253,文化娱乐,2016.5,北京·朝阳区,暂未收录融资信息,七十二变传媒致力于打造医疗美容垂直领域的视频内容矩阵，以短视频、直播等作为载体，力求打造医美行业具有公信力的内容IP，构建医美消费用户的互动社区，为医美机构提供精准的用户流量入口，旗下栏目《咋整呢呵呵》是一档整形强知识类脱口秀栏目，此外还有《偷偷美成仙》、《名医直播面诊》等。,女性经济、美容、视频、整容整形、文化娱乐、女性创业者、短视频、真人秀,50-100人,运营中
西安纽扣软件科技有限公司,https://cdn.itjuzi.com/images/bbec51b900f8b7d001db7c585412ed1c.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83240,企业服务,2015.1,陕西·西安市,暂未收录融资信息,G-POWER纽扣是一家图像类产品和休闲游戏研发商，隶属于西安纽扣软件科技有限公司。,图片照片、游戏、企业服务、B2D开发者服务、开发商,30-50人,运营中
